Constructing Graph G(n,p), n = 20
0.00	  0.040000	  0.893532	
0.02	  0.074000	  1.171548	
0.04	  0.100000	  1.306139	
0.06	  0.122000	  1.393957	
0.08	  0.146000	  1.491537	
0.10	  0.166000	  1.555135	
0.12	  0.184000	  1.604414	
0.14	  0.200000	  1.641950	
0.16	  0.210000	  1.655868	
0.18	  0.222000	  1.675922	
0.20	  0.232000	  1.689431	
0.22	  0.248000	  1.724673	
0.24	  0.260000	  1.743674	
0.26	  0.270000	  1.756445	
0.28	  0.278000	  1.764289	
0.30	  0.286000	  1.772062	
0.32	  0.294000	  1.779765	
0.34	  0.296000	  1.779996	
0.36	  0.304000	  1.787620	
0.38	  0.312000	  1.795176	
0.40	  0.316000	  1.796704	
0.42	  0.320000	  1.798221	
0.44	  0.322000	  1.798420	
0.46	  0.324000	  1.798617	
0.48	  0.328000	  1.800116	
0.50	  0.332000	  1.801604	
0.52	  0.334000	  1.801789	
0.54	  0.338000	  1.803263	
0.56	  0.340000	  1.803441	
0.58	  0.342000	  1.803617	
0.60	  0.346000	  1.805072	
0.62	  0.350000	  1.806516	
0.64	  0.352000	  1.806681	
0.66	  0.356000	  1.808111	
0.68	  0.360000	  1.809530	
0.70	  0.362000	  1.809684	
0.72	  0.364000	  1.809835	
0.74	  0.366000	  1.809985	
0.76	  0.368000	  1.810131	
0.78	  0.370000	  1.810276	
0.80	  0.372000	  1.810419	
0.82	  0.374000	  1.810559	
0.84	  0.376000	  1.810697	
0.86	  0.378000	  1.810833	
0.88	  0.380000	  1.810967	
0.90	  0.382000	  1.811098	
0.92	  0.386000	  1.812458	
0.94	  0.388000	  1.812583	
0.96	  0.392000	  1.813928	
0.98	  0.394000	  1.814046	
1.00	  0.396000	  1.814162	
